7838,3937,5,5,5,4
7838,2916,7.6,6.4,5,2
7838,3049,4.3,4.1,5.5,6
7838,2810,8.4,7.8,5,2
7841,577,4.5,2.8,2.7,1
7841,622,5,5,5,4
7841,624,1.1,1.1,1,6
7841,682,6.4,3.8,6.4,3
7845,3522,5,3.4,6.1,3
7845,2810,4.5,4.6,4.5,3
7845,3062,2.9,2.2,5,3
7845,3074,5,5,5,4
7851,3690,5.6,6.2,4.5,3
7851,3049,3.3,5,6.8,6
7851,3038,6.1,3.7,6,2
7851,2772,6.5,5,6.4,3
7858,3954,6.8,1.1,4.6,2
7858,1954,5,5,5,3
7858,1547,5.3,5.3,2.1,4
7858,2048,2.8,6.1,3.8,5
7863,524,7.2,4.4,6.4,2
7863,3769,4.6,5.3,4.5,2
7863,3839,7.8,1.8,5,1
7863,1266,7.2,5,5,3
7863,1800,5.5,3,5,3
7864,2229,5,7.2,2.3,5
7864,2231,7.5,2.4,5,3
7864,2252,6.8,6.6,5,1
7864,4143,7,5.5,5,3
7866,4018,6.1,4.1,5,3
7866,1292,5,5,5,3
7866,1634,5.8,5.7,5.4,3
7866,1563,6.1,6.1,6.1,3
7866,3797,5,3.9,5.4,3
7867,569,8.7,1.7,7.4,2
7867,570,8.5,2.5,7.2,2
7867,612,7.8,6.9,2.8,2
7867,656,5.7,5.7,6.5,4
7883,1696,6.1,5.7,5.4,3
7883,577,8.3,8.3,2.4,1
7883,619,5.9,3.7,5.2,4
7883,620,7.7,1.9,2,2
7885,595,2.1,6.5,6,6
7885,596,6.9,7.3,2.4,5
7885,597,1.3,6.1,3.7,7
7885,646,4.1,6.1,5.9,3
7885,3937,3.4,3,5,5
7901,3840,6.6,4.7,5.6,4
7901,3837,6.4,6.2,5.5,3
7901,3749,2.3,5.9,4.2,6
7901,2772,7.1,3.9,3.7,2
7901,2773,8.3,6.3,5,1
7901,1250,2.6,2.5,2.1,5
7907,2426,6.8,5.6,5.7,1
7907,3129,4.3,4.1,4.3,2
7907,3130,7.9,6.1,4.5,2
7907,586,6.1,6.8,6.4,2
7907,4074,5,4.1,5,3
7914,587,5,5,5,5
7914,559,7.2,6.6,7,2
7914,588,5.7,4.3,5,2
7914,633,9,9,7.8,1
7917,2709,5,5,5,4
7917,2715,5,5,5,4
7917,2716,5.7,5.4,5,3
7917,621,4,3.7,4.5,5
7928,3604,6.2,6.2,5,4
7928,3638,4.1,1.1,3.1,3
7928,1702,5.6,4.5,6,2
7928,1834,5.4,5.7,4.6,3
7928,2478,1.1,1.2,8.8,4
7930,4116,7.1,6.5,6.6,2
7930,640,5.5,3.5,5.9,2
7930,642,8.6,2.7,4.1,1
7930,643,8.5,7.2,3,3
7940,570,9,1,5,1
7940,572,8.4,8.4,1.4,2
7940,573,7.3,3.2,6,2
7940,658,8.7,8.6,8.6,1
7940,591,8.1,5,5,2
7949,3638,6.7,3.3,6.5,3
7949,1684,8.2,8.8,6.3,1
7949,3300,3.2,2.7,3.4,4
7949,3312,5,5,5,4
7951,1227,7.3,2.8,5,3
7951,1235,7.5,6.8,1.5,1
7951,1663,8.2,7.6,2.5,1
7951,3676,6.8,2.6,6.3,3
7954,3868,5.9,5.4,4.5,3
7954,2514,9,1,9,1
7954,2515,9,1.1,3.9,1
7954,2516,8.7,1.7,7.2,1
7967,3384,8.2,2.8,3.5,2
7967,1323,8,5.6,5.8,3
7967,1324,5,5,5,4
7967,2111,7.8,7.5,5,2
7973,3977,5.7,2.8,5.5,4
7973,2855,7.7,3.2,6.2,1
7973,1227,9,1,5.2,2
7973,1239,5,5,5,4
7978,1395,2.9,1,7.9,3
7978,1405,5,4.2,5,3
7978,3632,3.8,3.9,6.9,4
7978,3787,3.4,5,5,3
7983,3813,9,1.1,9,4
7983,4071,6.3,6.2,4.1,3
7983,1583,2.4,3.5,3.2,7
7983,1709,5,5,5,6
7984,4079,9,9,1,2
7984,2018,6.1,5.9,4.1,3
7984,1928,7.5,8.1,2.1,3
7984,2100,8.2,8.6,4.6,2
7997,3900,8.6,8.1,6.5,2
7997,4048,9,9,5,2
7997,1318,6.6,3.1,3.7,4
7997,1339,6.4,6.4,6.4,2
8008,1938,6.1,4.4,3.6,3
8008,2456,8,7.4,3.6,3
8008,2460,5,5,5,4
8008,4098,8.7,8.2,7.8,3
8016,1384,5,5,5,4
8016,1351,5,5,5,3
8016,1389,7.7,2.5,2,2
8016,4120,8.4,6.8,7.6,1
8017,4229,6.1,3.4,5.7,4
8017,3793,3.9,6.4,3.7,5
8017,1297,6,5.7,3.9,4
8017,1315,5,5,5,4
8035,4138,5,5,5,2
8035,3783,2.3,1.3,2.2,5
8035,1554,7.2,7.2,7.5,3
8035,1599,5,4.7,5.2,4
8035,1586,6.6,3.5,5,2
8051,4061,6.7,3.3,5,3
8051,1688,4,4,6.4,4
8051,2392,5.2,3.9,5,4
8051,2399,5,3.6,3.6,4
8052,4073,7.4,1,2.9,2
8052,2080,6.3,3.8,5,2
8052,2647,7.8,7.8,2.1,2
8052,2680,5,5,5,4
8052,3690,5.7,6.2,4.4,3
8053,3729,3.8,3.5,6.3,5
8053,537,3.5,2.3,5,5
8053,562,6.8,7,3.2,3
8053,621,6.5,7.3,6.8,3
8053,643,3.3,2.8,6.1,5
8056,540,5,5,5,2
8056,504,2,5,5,7
8056,541,4.3,4.3,5,4
8056,505,2.3,7.3,4.9,6
8061,2375,7.2,7,5,2
8061,2806,7.7,6.8,5,3
8061,4061,9,5,5,2
8061,4132,5,5,5,1
8067,514,3.9,3.6,3.1,7
8067,542,7.4,2.5,6.1,2
8067,545,1.1,1.2,9,7
8067,573,4.4,4.3,5.6,5
8067,655,7.2,7.7,8.2,2
8067,4209,5.2,5.5,5,3
8072,1560,5.8,5,5,3
8072,1583,6.5,6.5,6.1,4
8072,4222,8.3,8.1,8.2,2
8072,2122,5.4,5.3,5.3,4
8084,1560,5,5,5,4
8084,1594,8.3,2.6,7.9,2
8084,1593,9,8.4,9,2
8084,3993,6.2,3.4,6.1,4
8084,3171,5,5,5,4
8093,3062,5.7,6,5,4
8093,3461,5,5,5,4
8093,3492,6.6,5,5,4
8093,3829,9,9,1,1
8094,4210,5,5,5,4
8094,3072,6.1,3.1,6,3
8094,2941,5,5,5,4
8094,3005,5,5,5,4
8096,3553,2.5,3.3,7.9,6
8096,3564,6.5,5,5,1
8096,3568,5,5,5,4
8096,1321,5.5,5.4,5.3,3
8104,670,1.4,1.5,1.6,4
8104,2865,5,2.7,5,5
8104,2858,6.2,5.7,4.6,3
8104,2869,5,5,5,7
8105,3637,1,1,1,4
8105,505,3.6,7.4,7,6
8105,555,3.5,6.4,4.2,5
8105,558,9,5.7,1.8,2
8108,2111,2.2,8.2,7.9,6
8108,611,1,5,9,7
8108,2521,2,5.1,5,6
8108,1628,4.6,5.4,5,4
8108,1774,4.4,4.1,4,4
8111,3179,2.6,2.8,6.9,5
8111,2732,2.2,3.1,3.2,2
8111,3154,1.4,5,6.1,6
8111,3638,2.9,6.7,3.4,3
8113,3653,7.7,1.7,7.9,2
8113,3690,6.5,6.7,5,2
8113,1299,7.4,5,5,2
8113,1698,7.6,6.7,5,1
8113,1482,9,1.1,8.3,1
8115,3853,2.4,5,5,6
8115,2820,3.4,6.3,5,4
8115,2814,4.1,6,5.8,4
8115,596,3.4,3.1,7,3
8121,619,5.8,5.5,5,4
8121,616,5,5,4.1,4
8121,559,6.3,2.7,7.5,2
8121,577,6.1,6,5.1,1
8124,585,3.4,5,5,6
8124,581,5,5,5,4
8124,587,5,6.5,5,3
8124,559,4.4,1.6,2.2,6
8126,537,5,2.7,5,4
8126,562,3.7,5,3.5,5
8126,621,4,6.2,5,3
8126,3727,3.3,7,7.1,5
8141,2201,3.5,5,5,5
8141,2380,1,8.5,1.4,6
8141,2371,1,1,5.1,4
8141,2162,3.9,5.7,4.2,6
8153,620,4.3,4.2,6.2,5
8153,616,3.4,2.2,5,4
8153,621,3.6,5.4,4.2,2
8153,559,5.4,2.9,2.3,2
8153,643,5,5,5,4
8153,3991,4,5.7,6.4,5
8166,2912,5,5,5,4
8166,3270,4,4.3,5,3
8166,3154,5,5,5,5
8166,3268,6.4,5.8,3.4,2
8171,3383,2.1,2.4,2.8,6
8171,2248,2.2,5,5,6
8171,1398,2.4,2.6,8.6,7
8171,3697,6.7,5,5,3
8173,2584,7.9,2.6,6.2,2
8173,1383,6.5,5.3,5.4,3
8173,2585,7.1,5.6,5,2
8173,4138,5,5,5,3
8174,4132,2.2,5,5,5
8174,1242,1,6.2,7.6,6
8174,666,5.1,6.3,5,3
8174,1297,5.4,5.9,4,4
8180,1871,7.2,6.3,5.7,1
8180,2388,6.3,6.4,3.8,3
8180,1949,5,5,5,2
8180,4204,6.6,5,5,3
8181,2366,5.9,5,5.6,4
8181,2872,2.3,2.4,5,5
8181,3117,7.1,3.6,3,3
8181,3155,2.9,6.7,5,7
8183,3518,3.1,6.6,1.6,4
8183,3516,5,5,5,4
8183,3548,3.8,3.2,6.9,3
8183,3932,5,5,5,4
8187,4074,5,5,5,4
8187,3045,3.1,2.6,3,4
8187,3421,7.5,3.1,3.8,3
8187,3535,6.7,5,5,2
8194,3030,5,5,3.3,3
8194,3032,5.8,4.2,4.6,3
8194,3171,6.9,8.2,3.1,2
8194,4247,3.7,4.5,5,4
8198,1425,5.7,4.6,5.6,2
8198,1477,2.8,3.9,7.4,5
8198,1242,5.9,5,5,3
8198,3837,9,8.9,9,1
8198,3993,4,6.4,3.4,4
8202,4201,6.3,3.2,5,3
8202,2406,5,3.5,2.9,4
8202,2407,6.4,4.1,5.7,3
8202,1725,6.2,6,3.2,3
8204,609,5.8,4.3,4.1,4
8204,588,6,5.9,5,2
8204,611,6.8,8.4,2.6,2
8204,591,5,5,1,2
8204,620,6.1,4.4,3.7,4
8204,626,7.9,7.8,1.8,2
8210,3861,8.9,7.3,9,2
8210,3458,5,4.2,5,4
8210,1900,5.8,5,5,3
8210,3062,5,6.3,5,4
8217,543,6.5,4,5,2
8217,549,9,4.3,5,2
8217,548,6,3.3,5,3
8217,676,6.9,2.3,5,3
8217,686,8.4,2.5,6,3
8223,2128,6,6.4,4.1,4
8223,2059,7.4,4,4.5,3
8223,2158,8.2,3.8,5,2
8223,3656,8.2,8.1,8.2,5
8226,2825,6.9,3.7,5,2
8226,4167,7.5,2.7,7.4,2
8226,1381,8,5.9,5,2
8226,1382,7.9,5,5,2
8230,1788,6.9,6.9,1.5,3
8230,1830,5.4,4.3,5.7,2
8230,1702,6.2,6.5,4.6,1
8230,3756,5.8,5.8,3.7,2
8244,3543,5,4.1,5.4,4
8244,4094,4.1,4.4,4.2,3
8244,1931,3,5.5,3.6,5
8244,2433,5,1.1,8.9,3
8244,2442,3.4,2.9,2.6,3
8245,1486,6.9,6.6,3.2,2
8245,1491,5.6,5.9,6.5,3
